PortfolioPair,n_obs,mean,std,min,max,skew,excess_kurtosis
ME01 BM01,9025,-0.00011278670360110858,0.015715996603717183,-0.1353,0.1425999999999999,-0.4164486326743326,5.721548466942284
ME01 BM02,9025,0.00016495290858725703,0.01583809394861634,-0.13520000000000001,0.2571,0.49340617593113534,14.691867774963185
ME01 BM03,9025,0.0003545263157894725,0.015569524489179141,-0.14070000000000002,0.13369999999999999,-0.22286973740412586,6.9802348783127055
ME01 BM04,9025,0.0002599002770083094,0.01415176932835723,-0.13349999999999998,0.11699999999999999,-0.3913012567787692,6.625926089436874
ME01 BM05,9025,0.0003203434903047082,0.014347679422199753,-0.1236,0.2343,0.6970709744371932,21.161235345718314
ME01 BM06,9025,0.0003834570637119104,0.012549872054300032,-0.13299999999999998,0.0978999999999999,-0.3951443058835092,8.101372068917984
ME01 BM07,9025,0.0004138282548476442,0.01244283174607027,-0.1329,0.1071,-0.393019073216158,9.210107062190717
ME01 BM08,9025,0.0004091745152354564,0.011490961316244374,-0.1345999999999999,0.08399999999999999,-0.4551710502873257,10.117434110861998
ME01 BM09,9025,0.0005271135734072011,0.010526932043049555,-0.1158,0.0677,-0.5484040339936398,8.668240407208918
ME01 BM10,9025,0.000504908587257617,0.011491222813317102,-0.1111,0.0779,-0.7437265113265319,9.647278810154218
ME02 BM01,9025,0.00011908033240997195,0.017763530935336034,-0.159,0.1436,-0.0831524777693478,5.0416424695590045
ME02 BM02,9025,0.00034021052631578915,0.017226497562255985,-0.15259999999999999,0.1642999999999999,-0.0860921456197747,5.7067634090556485
ME02 BM03,9025,0.00035944598337950083,0.01589279088133974,-0.12739999999999999,0.1368,0.08315634385095697,5.531976480662255
ME02 BM04,9025,0.0004895734072022153,0.01577603945073242,-0.1488,0.1018999999999999,-0.10670279196008474,5.311651076336926
ME02 BM05,9025,0.00044476454293628675,0.014523069029451179,-0.1452,0.094,-0.24715149066790215,6.465128014189245
ME02 BM06,9025,0.0003558337950138501,0.014490115376825683,-0.1183,0.1084,-0.07160636587364985,6.4729425947256924
ME02 BM07,9025,0.00046873130193905715,0.014543648673987265,-0.144,0.1124,-0.0817237947116691,9.086723005641986
ME02 BM08,9025,0.0005075235457063701,0.014821053688635146,-0.1624,0.1046,-0.22561840896902505,9.097850993704352
ME02 BM09,9025,0.00042305817174515177,0.014684615235015507,-0.1347,0.1016,-0.1728440395570886,8.225161716133531
ME02 BM10,9025,0.0005952908587257607,0.0184725934797852,-0.2442,0.4557,1.4196403530361434,58.79784476960437
ME03 BM01,9025,0.0002611634349030463,0.01736463310612849,-0.1901,0.11789999999999999,-0.27437201875590217,5.085760342281718
ME03 BM02,9025,0.0003710027700831021,0.0164569223341151,-0.1455,0.105,-0.24814451488993575,4.750324411048863
ME03 BM03,9025,0.00046495290858725706,0.015152381450810692,-0.1374,0.11149999999999999,-0.254258644390668,5.801603924085747
ME03 BM04,9025,0.0004461828254847637,0.01481363216862421,-0.12919999999999998,0.0922,-0.19337031229206067,4.869125846296551
ME03 BM05,9025,0.00039010526315789453,0.01412477258650796,-0.1223,0.0948,-0.18038119120078577,5.611379282220122
ME03 BM06,9025,0.0005414736842105255,0.014323022380912244,-0.17359999999999998,0.1108,-0.34635903457209566,8.722003861741536
ME03 BM07,9025,0.00042134072022160607,0.014137480873379736,-0.1475,0.1083,-0.1138368278642249,8.006469847154078
ME03 BM08,9025,0.0003547479224376731,0.014416790084171426,-0.1303,0.0935,-0.08474467963562703,6.82156926748973
ME03 BM09,9025,0.000512110803324099,0.014866341817945808,-0.1522,0.1055,-0.1910353634980544,7.707937737938305
ME03 BM10,9025,0.0004503601108033234,0.01725310436056143,-0.1819,0.1207,-0.39745683222902645,9.778166053001428
ME04 BM01,9025,0.00034915235457063656,0.016727489359365192,-0.1667,0.11259999999999999,-0.2008380232830597,4.293990818920085
ME04 BM02,9025,0.0003485207756232684,0.015488422390349614,-0.1382,0.1328,-0.11439974684133425,4.474326412309795
ME04 BM03,9025,0.00034467590027700785,0.0145614453270603,-0.1387,0.1007,-0.18218607520692812,4.553941655886113
ME04 BM04,9025,0.0004376066481994455,0.014294588370519083,-0.1333,0.1071,-0.24893714857898827,5.632356315616608
ME04 BM05,9025,0.0003877119113573397,0.013735869944926888,-0.11220000000000001,0.0951999999999999,-0.16576514264074058,5.7465962345260575
ME04 BM06,9025,0.0003907479224376722,0.013655323620946,-0.1143,0.09839999999999989,-0.090578993563352,6.405435996118374
ME04 BM07,9025,0.00045884764542936216,0.013578797468598169,-0.1127,0.092,-0.19374378004680343,6.262102382781713
ME04 BM08,9025,0.0004014072022160656,0.014203848573090778,-0.1434,0.1026999999999999,-0.1811502348593771,7.521580537809845
ME04 BM09,9025,0.0005010304709141266,0.014813381674753108,-0.1445,0.1043999999999999,-0.18514595477227244,7.668947207138771
ME04 BM10,9025,0.0002815401662049861,0.01869496214361998,-0.1808,0.1847,0.08215727428523122,11.609135741239891
ME05 BM01,9025,0.0002726094182825478,0.016762733757473978,-0.12969999999999998,0.1073,-0.20071280298265215,3.906720798395454
ME05 BM02,9025,0.0003637562326869799,0.015278985195131675,-0.1498,0.1031,-0.18368041154694992,5.432077422910959
